dataset,domain,target,model,n_train_used,n_test_used,n_features_after_preprocess,mae,rmse,r2,train_time_sec,best_params
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,XGBoost,1600,400,232,0.7308505755662918,0.9333815851884468,0.589559416013899,0.3321847915649414,{}
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,Gaussian Process Regression,1600,400,232,0.7534479030838986,0.9406172806449301,0.5831711727843856,5.030413866043091,{}
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,SVR-RBF,1600,400,232,0.760909545499326,0.9570702918294816,0.5684615360866065,2.489145278930664,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": 0.01}"
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,Ridge Regression,1600,400,232,0.76521657031244,0.9572467334237182,0.5683024080606902,2.5062038898468018,"{""alpha"": 10.0}"
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,FT-Transformer,1600,400,232,0.7597825846076012,0.9637963523797478,0.5623747249314487,10.224417209625244,"{""d_token"": 32, ""n_heads"": 4, ""n_layers"": 2, ""dropout"": 0.1, ""lr"": 0.001, ""epochs"": 160, ""patience"": 20}"
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,Random Forest,1600,400,232,0.7669416666666666,0.9733260131003268,0.5536777877236514,0.29818224906921387,{}
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,HistGradientBoosting,1600,400,232,0.7735576696459109,0.9770206193058002,0.5502830064314099,1.2243928909301758,{}
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,Linear Regression,1600,400,232,0.7721876027963461,0.9829813356742684,0.54477890027138,0.09416675567626953,{}
UCI SkillCraft1 Master Table Dataset,Games / Esports / Player Performance Analytics,StarCraft II League Index,MLP,1600,400,232,0.8012452031694954,0.994852223036873,0.5337176360683086,3.04034686088562,{}
